content,title
   제 주변은 자녀수가 2명인 경우가 제일 많고  그다음은 3명이상  1명인 경우가 젤 적은것 같습니다  아이가 학교 다닐때   한반에서 혼자만 외아들이었어요  1명보다 3명이상의  경우가 더 많았어요  출산율 낮다고 하는데 제 주변은 출산율 낮지 않더라구요  저희언니는 아이가 5명입니다   시어머니가 아들 낳으라고 닥달을 해서  낳았는데  아들낳으려고 낳는것은 맘에 안듭니다  아이가 좋아서 낳는다면 몰라도 ~ 그리고 실수로 딩크족을 생각못했네요  부부만 행복하게 산다도 넣었어야 하는데  수정이 안되네요 ,우갱님들 자녀수는  몇명인가요
"전라도에 저희 살구요,딸이 서울서 대학다니면서 원룸살거든요?4년전부터 청약저축 10만씩 넣어주고 있어요ㆍ작년에 세대구성해서 주소 옮겨갔구요ㆍ내년이면 4학년인데취직하면이사하려구해요ㆍ딸이 임대주택같은거 좋은조건에 들어갈수 있는 기회가  있을까요?원룸 ᆢ 시골만 살아서인지 전 답답하더라구요ㆍ",미혼. 집 ᆢ
"평소 난장판인 딸의 책상... 제 물건 건드리는걸 좋아하지 않아 가끔 그저 먹던 컵이랑 코푼 휴지나 치워주다 쌓여있는 문제집속에 삐져나온 편지봉투 꼬투리. 또 그저 친한 친구의 생일카드려니하고 덮어두려다 호기심발동. 살짜기 펴보고는 ㅠㅠ 삶을 45년,결혼한지 24년, 큰아이를 23년, 작은 아이를 18년, 이제는 어느정도 어른이 되었다고 자만하고 살았던거 같습니다. 딸이 편지를 제게 쓴지는 10일이 되어가는데 제게 줄지 아닐지는 모르겠지만 이 글을 마음깊이 새기고 종종 밀려드는 걱정과 미숙한 자아가 올라올 때마다 잊지말아야겠다는 생각에 딸의 편지를 타자로 남겼습니다. 부모가 아이보다 나아서 뭘 가르쳐야한다는건.. 오만일지도 모르겠어요. 저는 늘 실수하고 또 아이들에게 미얀해하는 미숙한 엄마네요 ㅠㅠTo 마미안녕! 걱정이야 뭐 마음 한구석에 늘 안고 사는거라지만 요 며칠 들어 걱정이 더 많지? 나도 오빠가 안쓰러운 마음에 엄마한테 좀 쏘아붙이듯이 말한 것 같은데, 일찍 들어가서 눕는거 보니까 이젠 엄마한테 미얀해지네. 엄마도 충분히 많이 고민하고 생각했으텐데..'돈'에 매이다 보면 세상살이가 너무 씁쓸해지는것 같아서 슬프다. 누구 잘못도 아닌데 괜히 잘 안풀리는 것같고 우리 네 가족도 저마다의 생각과 걱정이 있겠지?(짐승은 제외 ㅎㅎ)난 아무래도 오빠랑 그나마 비슷한 나이대의 사람이라서 오빠의 막막함, 불안함 쪽에 서서 생각을 많이 한것같아. 더 힘든 상황도 이겨냈던 엄마의 스물셋을 떠올리면 지금 오빠랑 내 모습은 나약하기 짝이 없지 정말.. 이악물고 꿋꿋이 살아내서 여기까지온 엄마는 진짜 정말 대단한것 같아. 너무나 많은 일들을 겪어온 엄마가 보기에, 방황하는 아들의 모습이 이해하기 힘든 부분인건 어쩌면 당연한 일이지. 따지고 보면 엄마가 하는 말들이 다 옳기는 해. 사람 너무 잘 믿어서도 안되고 , 제 몸 하나쯤 건사할 줄은 알아야 하고, 가족끼리 손벌려서도 안되고... 한발짝 떨어져서 보면, 정말 다 맞는 말들이야. 그런데 난 우리 가족이 '내가 의지할 곳 하나쯤은 있구나' 란 걸 느끼면서 살았으면 하는 마음에 엄마를 나무란거였어. 힘들어도 돌아갈 곳이 하나쯤은 있구나, 부담같은건 다 내려놓아도 되는 곳이 아직 있구나.. 이런거? 세상에는 이성적인 것들로만 판단할 수 없는게 생각보다 많다잖아?엄마도 어떻게 해야할 지 모르겠고 맘같아선 돈 걱정 없이 사는 모습도 그려보고 싶겠지만... 정답이란게 없어서 참 그렇당. 아무튼 , 너무 깊은 생각에 빠지지 말고 우리 그냥 평소처럼 열심히 재미있게 살자. 오빠가 힘들어하면 위로도 좀 해주고, 따듯한 밥도 먹여주고 하면서 .. 난 엄마가 열심히 요가도 하고 책도 읽고 음악도 들으면서 '감사한 순간이야' 라는 표정을 짓고 있는 걸 지켜보는게 좋아. 20년동안 고생했음 된거지 뭐. 잔걱정에 시달리면 주름만 늘어.ㅎㅎ 당장에 이런저런 고민을 한다고 해서 뽀족한 수가 나오는 것도 아니고 제일 젊은 날들을 절박학게 보내고 있는 당사자는 얼마나 후회스럽고 위태롭겠어. 자꾸만 손벌리려고 한다면 문제가 되겠지만, 오빠도 나름의 방법을 찾아보려 하겠지. 엄마는 그냥 마음 편히 조금은 즐기면서 살아도 되잖아~ 내가 좋아하는 윤사쌤이 그러셨거든.자기 안에서 일어나는 마음들도 컨트롤하지 못하면서 어떻게 밖의 것들을 컨트롤하고 남을 컨트롤하고 세상을 바꾸냐고, 결국엔 그냥 흘러가는대로 두는게 맞는거래. 그러니까 약간의 고민은 하돼, 너무 거기에 오래 빠지거나 스트레스를 받지 않았으면 좋겠어. 내가 대학가면 죽어라 벌어서 다 갖다주지뭐~(내뱃속으로 ㅋㅋ)엄만 그동안 너무 잘해왔고 지금도 멋지게 살고 있어. 오빠가 살짝씩 길을 헤매는 것도 성장 과정에서의 결핍 때문은 아닐꺼니까, 혹여나 자책을 하고 있었다면 절대 그러지마, 정말로...(안하고 있었다면 미안.. 뻘쭘 ㅎ)너무너무 대단한 엄마아빨 둬서 우린 진짜 행복하고 진정한 ""금수저""야! 오빠고 좋은 날이 올꺼고, 나도 든든한 서포트 받는 덕에 좋은 날을 만들어 나갈꺼야!!!정말 좋은 엄마아빠로 있어줘서 고마워용~~2018.9.10 딸 올림",전 아직 미숙한 엄마입니다 ㅠㅠ
늦둥이 둘째 이제 중2라 중간고사 시험감독갔다왔어요.  이런걸 왜 해야되는지 싫어하는 엄마들도 있고 시함관련  사건사고가 많으니 더 철저하게 해야된다는 엄마도 있네요. ..울 아들은 시험끝났다고 친구들이랑 PC방 갔다온대요.ㅎㅎ,시험감독
어제저녁으로  족발 사왔거든요물론 열심먹었구요오늘 아침도 족발 먹는다고 ㅡㅡ뭐  잘 먹음좋죠학교 갈시간 다 되가는데 ㅡ 초등3아직도  뜯고있고  난 옆에서 빨리 먹으라고잔소리 하고 있네요  ㅎ빗줄기가 계속 떨어지는 아침오늘 하루도  화이팅 해요~~,아침부터 족발먹는 딸~
이번에 딸램이가 한국대표로 미스 글로브에 출전하게 됬어요인스타 잘하시고 팔로워 많으신 우갱님들 부탁드려요themissglobe 들어가셔서 한국대표에게 라이크와 응원에 말씀한마디씩 부탁드려요복받으실거예요 ^^,좋아요가 필요해요 우갱님들
9살 딸아이 키우는 늦둥맘은 비 맞으면서 신나게 노는 아이들 지켜보고 있답니다~ㅎㅎ하루 하루 크는게 아깝네요~2학년 2학기 가을 공원에서 비 맞으면서 놀았던 기억 아름다운 추억이 되겠지요^^,9살 딸아이 지금 비오는데 놀고 있어요~
"고3딸아이가 감기에 걸렸어요.에미도 안걸리는 감기를.ㅜ독하게 맘먹기도..독하게 해나가기도..생각만큼 안되고, 힘든가봐요.피도 눈물도 없는 냉정한 여자도안쓰럽게 보고, 응석을 받아주고 있으니이게 엄마인가 싶고, 이제 좀 알겠다 싶네요.50일 남았다고끝까지 격려해라고 단체문자 왔는데, 떨리네요.",집순이에 단순녀라 고3엄마는 특별한 경험이네요.
낼 전국구로 비가 온다는데 소풍은 날받아 놓은거라 감행한대요..김밥은 아무래도 눅눅해질거같아 메뉴 고민하고 있어요..그래도 소풍인데 특별난거  해주고 싶은데..유부초밥밖에 생각이 안나유..ㅜㅜ언니야들 메뉴공유 좀 부탁드릴께요,둘째 꼬맹이 낼 소풍... 비온다는데
남편이 술 먹고 왔는데 항상 같이 술 먹는 분이 밥을 안먹고 술을 먹어 그런지 집오면 밥을 그리 찾아요얄미워서 모른체 있었더니 우리 이쁜 4학년 딸이 아빠 제가 라면 끓여드릴까요?하길래 모른체 했더니 뚝딱 라면을 끓여서 주더라구요잘 먹고 맛있다며 딸이 최고라고 하길래 말만 하지 말고 라면값 주라고 했더니 몇천원을 주더라구요아이가 좋다고 돈들고 가더니 울상이 되서 나왔네요모아둔 7만원이랑 통장이 없어져 버렸대요한참을 방을 다 뒤지고 해봤지만 결국 못 찾고아이는 눈물을...제 마음도 아프더라구요엄마 아빠 생일때 선물 사준다고 저금도 안 하고 가지고 있던 돈인데 ㅠㅠ달래주고 안아주고 했지만 애 마음이 얼마나 속상할 지 아니 저도 잠이 안 오네요제가 그돈 준다고 하니 그건 소용이 없다고 그러고..어디 갔을까요?그 돈 ㅠㅠ발이 달린 것도 아닐진데여러분 다들 걱정해주셔서 감사합니다어제는 남편이 술 취해서 안 찾아주더니  오늘 집에 와서 찾아 주었네요딸이랑 저 둘다 허당 이에요애 서랍 얇은 편지지 밑에서 찾았어요아이가 좋아하니 저도 너무 좋아요~~,속상속상해요
오늘 큰아이가 휴가 받아서 나왔어요~~ 군대에서 ㅎㅎ  예전엔 우리 큰아이랑 마트며 시장이며 극장 등등 자주 다니곤 했는데~~ 군대가는 바람에 아무것도 못하게 되었네요 작은 아들도 있지만 엄마랑 다니는건 옷사는거 말곤 잘 안하려고 하거든요 어렸을땐 자주 갔었는데 크면선 친구들하고만 다니고 ㅠㅠ  큰아이 오더니 하는말 엄마 내일 영화보러 가자고 ㅎ 군대 보냈놓고 혼영이든 한번 해보려고 했는데 시도도 못해봤네요 내년 4월이면 제대하지만~~  ,큰아들
지들끼리 올리브영 가서 사오곤하는데좀 순하고 질좋은 거 사주고싶어요댁에선 따님들 어떤거 쓰나요?추전해주셔도 감사해요,고딩이나 대딩 스킨로션?
여기는 언니들이 많으시니~~^^여쭤보아요~사춘기아들 피부가 피지에 각질에 엉망이네요.ㅠ올리브영가서 여드름용 폼클린징 사서 쓰니 좀 낫긴해요.혹시 스킨로션 효과있는거 있을까요~~오늘 마트갔다가 직원한테 붙들려 설명만 듣다가 부담스러 그냥 나왔답니당~~~ㅠ,아이들 스킨케어
학교에서 막바로 학원간 중3아들내미한테 전화가 왔어요..오늘 또 반성문 썼다고 근데 넘 억울하다고..ㅜㅜ몇일전은 친구들이랑 점심시간때 가위바위보해서 진 사람이 월담해서 아이스크림 사서 먹다 걸려 반성문 쓰고 오늘은 체육시간 옆반이랑 겪하게 하다 비와서 젖은 모래에 뒹굴다 다치고 팬티까지 젖은 모래가 들어갔대요..다음 수업시간에 앉지도 못하고 뒷편에 서 있으니 선생님이 물어보셨을거고 상황설명을 하던차에 옆친구도 가담해 장난으로 팬티에 들어갔을거라고..아들은 남녀합반이라 팬티란 단어를 쓰기엔 민망해서 ''남자들이 느끼는 찝찝함이 있다''라고 얘기했는데 선생님이 성적모욕감을 느꼈다하여 반성문까지 써라하고 울 아들은 도대체 제가 무얼 잘못했냐고 투덜..교무실까지 가서도 옥신각신했대요..아들말만 전적으로 듣기가 그래서 늦은 시간 담임과 통화했죠...담임말론 아들이 잘못했다고..평소에도 직설적이고 공격적으로 말한다는둥 ((아들이 남자남자합니다..그리고 본인이 옳지 않다생각하는건 말도 잘하구요))..애가 못됐거나 천성이 나쁜건 아닌데 말투가 반항적이다..근데 알아듣게 얘기하면 곧 수긍하고 잘못한건 잘못했다고 한다..저는저두 잘안다..맘에 안들면 투덜거리며 말하는것과 언어구사력이 부족하고(선생님은 떨어진다고 표현) 남자아이라서 공감력도 좀 부족하다(선생님은 네네 다른아이들보다 많이 부족하죠)근데 난 내아들 믿는다(아..그래요?) 가정에서도 항시 지켜보고 있고 학교일이며 여친얘기도 다 잘한다..근데 선생님 말씀을 듣고보니 어떤부분에 더 초점을 두고 가정에서 얘기해야하는지 알겠다..잘 알아듣게 얘기하겠다...근데요..학원에서 돌아온 아들에게 오늘 상황들으니 선생님도 선생님편이라 머리떼고 꼬리떼고 유리한쪽으로 얘길 한부분도 있네요..아들은 속상하고 억울하다고 울먹울먹...또 아들말을 들으면 일리가 있고...아들에게 잘 알아듣게 꼭 고쳐야될부분은 너를 위해서 고쳐야된다고 얘기했어요..근데 속상하네요...물론 선생님의 본분으로 지적할순 있는데 이제 갓크는 아이를 쉽게도 들썩이는거 같아서요..저도 애미인지라 그리 말하는 선생님과의 통화에 아들 두둔하고 싶고 저자세가 되기 싫더군요..(선생님판단을 두려워 저 자신을 포장하고 싶지 않더라고요)말잘듣는 아이는 칭찬..소신있게 주장하는 아이는 가정에서 어떻게 키웠기에 문제아취급..,속상..속상..
우리집 초딩 내년에 중학교 입학하는데~^^,경기도 내년부터 중학교 신입생 교복 무상지원
선생님의 도움받아 한거겠지만 ..제법 예쁘게 잘 만들어 왔네요^^9살 딸아이라서 아직은 예쁜짓하고 효도합니다~지금 이시간을 즐기라는 육아 선배님들 말씀 자주 들어요~곧 다가올 사춘기가 두렵긴 해요 ㅎㅎ팔불출 딸바보 늦둥맘 자랑질~했네요^^날씨는 흐리지만 ~즐거운 불금 보내셔요~~~^^,우리딸 꽃꽂이 작품입니다~
울딸이랑 또 싸워서 둘다 화가나서 각자방에있네요 저번 댓글보면서 이또한 지나가리라하면서 위로받고 있는데 내가 수양이들된 엄마라 그런지 자꾸화가나요ㅜㅜ 내가 참아야지 내가 참아야지 하는데  힘드네요 이러다 울애 진짜 사가지없는 애가 되면 어쩌지싶고  화가나면서  걱정도되면서 그렇네요 이시기 잘 지나갔으면 좋겠어요 ,딸이랑 또 ㅜㅜ
"할수있나요?1차접수 마감되면 완전 끝인가요?오늘 5시마감인데이제 들어가봤어요..ㅠㅠ수시1차,2차일케 있으면 2차접수때 접수할수있나요?근데,이학굔 수시,정시 만 전년도 결과가있어요선배님들도움말씀 부탁드려요",수시접수마감후..추가접수
한자를 빠르게 습득하는 방법이나 노하우 알고 있나요?  우리애가 대학생인데 영어는 잘하는데 한자는 영 아니여서요 .. 시작을 어떻게 해야 습득하기 좋은지 감을 못잡겠네요,한자공부
   언젠가 까페 어느분께 이책 소개받고 읽고싶다 했었는데 오늘 제 생일이라고 아침에 아들이 무심한듯 주고 등교하네요  .. 늘 어린줄만 알았던 아들이 이젠 엄마 생일도 챙기고.. 기특하네요.. 처음 글쓰는데 자랑질이라 죄송하구요 ㅋㅋ 까페 활동은 잘 안해도 수시로 방문해서 위로받고 웃고 그런답니다.. 이런 공간이 있어서 참 든든하고 모두들 감사드려요 ~~  오랜벗이 하나더 생긴듯 이공간이 참 좋아요. 저도 용기내서 하나씩 얘기를 풀어볼까 합니다 ^^ ,선물받았네요
"둘째가 일곱살인데 거의 한달에 한번씩 어린이집에서 현장학습을 가요.도시락 안싸도 되면 땡큐인데 오늘은 싸는 날이였어요.볶음밥 싸달라길래 특별히 살 게 없어서 장보기를 패쓰했더니 제 머릿속에서 도시락 자체가 패쓰가 되었었나봐요.새벽부터 일어났음에도 불구하고 까마득히 잊고 있다가 어린이집 버스타기 삼십분전 생각이 났어요.ㅠ애 둘 깨우다가 정신이 번쩍 나서 밥차려 먹이고 볶은밥하고 머리 빗기고..이 와중에 간식은 꼭 미리 말해두었던 고구마튀김을 싸래요.8시 13분차 태워서 보냈습니다.. 오늘도 무사히..,^^;;",현장학습 도시락
이거 안좋은건가요?초등 5학년 남아 인데죽을거 같이 배고프다배고파 잠이 안온다 라고 하면서가끔 11시 이후 야식을 먹어요지금 이시간 식사를 하시네요 애가 작은편이라 키 때문에 신경이 쓰이는데요즘 부쩍 배고파 해서 키 크려고 저런가 싶다가도지금 시간 먹는건 아닌데 싶기도 하고..간단히 우유라도 먹으라고 하면 그건 싫다고 무조건 밥 달라고해요한참 크려고 할땐 뭐라도 애가 좋아하면 먹이라는 말을 들은적이 있어서 .. 이렇게 하는게 맞나요?어떻게 해줘야 하나요?저리 배고플땐 뭘 먹여야 하나요?(애 입맛도 까다롭고 편식도 있어서..)방법좀 알려주세요 ~~~~ ,10시이후 배고프다고 뭐 먹는거요
미대라 수시접수 수시실기 정시접수 정시실기...거의2월말까지 꽉채워 전쟁같은 시간을 보내야할거같아요.예고라 내신도별로고 실기도 그렇고... 이도저도아닌어중간한 위치에서 긴싸움을 해야해요.얼마안남으니 좀 짠하고안스럽네요..진작 좀 열심히하지...,수시원서 모두 넣었어요
"벌써 대학 수시 접수기간이네요...아들인데 원주나 대전쪽의 4년제 대학이 나을까요, 경기수원이나 용인쪽의 3년제 전문대가 나을까요?원주나 대전쪽은 기숙사 생활해야하고수원이나 용인은 버스로 다닐수 있어요.",아들 대학 수시 원서접수 질문이요~
"어제 한달에 한번있는 토요휴무 카공족 딸따라 카페가는길.  딸이  웃으며  저거 내가 한거네 하길래 보니... 2년전 중3때 응모했던 자전거 디자인 ㅡ2위에 당선, 제품화되고  부상으로 70만원짜리 프레임도 받았는데 누군가가 제품을 구매하고 저리 길거리에 돌아댕기는걸 보니 기분이 엄청 묘하더라구요. 제딸이지만 부러웠어요.ㅎㅎ Designed by haeun~^^",어제 딸애랑 학원근처 카페가는길에...
태어난지 40여일이 조금 넘었네요태어날때 2.8몸무게가 외손주 몸무게 5키로 되었네요~♡이렇게 무럭무럭 건강히 자랏네요딸아이 한달 산후조리를 마치니 왠지 또하나의 숙제를 한것 같아요 ㅎㅎ우갱님들도 그동안 잘들 지내셨지요?다시 만나뵈어 반가워요~^^,딸아이 1달 산후 조리를 마치며~
