content,title
"동갑네기 울 신랑일주일전부터 그냥아무 이유없이 저의 잔소리를 듣습니다오늘 아침엔 볼멘 소리로요즘 너무 심하다 고...왜그러냐고제대답추석이고,일주일뒤 아버님 제사이고 하니그때까진 참으라고...부산서는 한달 전부터 그랬는데지금은 양호하지 않냐고,남편 더작은 목소리로아직 암것도 안하면서 그런다고,바로 째려보니 눈을 피하네요지금이야 완전 나이롱지만 ㅋ큰집 장손인 남편집안이 넓어 평소 제관들만기본 스무분이 넘었었죠추석 당일만 애기하면5시에 일어나차례준비합니다.8시에 어른들이 오시면 차례지내고는대충 정리만 해놓고오촌당숙부님댁으로 갑니다그곳에서 차례지내고아침 식사합니다종부지만 촌수로 제일 막내이니당연 설거지 담당ㅋ그리고는 칠촌 당숙부님댁으로 갑니다거기서 차례 지내고는 다과를 하지요오래있을 순 없어요성묘를 가야지요부산서 가까운 밀양인데어찌나 막히는지요운전안하는 남편 덕분에몇시간이고 운전대 잡고...그렇게 다녀와친정가면 거의 밤9시나름 집안서 귀한 장손이지만,그 무게에 늘, 어깨 제대로 못폈던 남편와이프병을 알고 오히려 지는 덤덤한데,울면서 조상이 있다면,어찌 이럴 수가있냐면 원망아닌 원망을 하던...부산서 멀리 떨어진 이곳에 와서는저희만 단촐하게...사진은 부산서 살때학원강사여서 오후출근인 남편이 출근전 열심히 전굽던 모습6년전 사진이네요아~이때만도 참 젊었다 ㅋ",한국의 며느리의 남편이니 참으소.
산에 가서 산밤을 잔뜩 주워오더니밤새도록 씻고또 한날은 낚시해온 고등어 갈치를밤새 다듬게 하더니또 하루는 피묻은 생사골을화요일부터 제가 퇴근해서연장 삼일을 한 일입니다지금 이시간에는 사골을 꼬고 있네요그러면서 제가 그 여자들과의 카톡이야기의답을 안 들었으니 이야기 해 달라하니자기는 십년이상 친구로 지낸 여자기때문에그건 제가 따질 이야기가 아니래요십년전에 한때는 사겨서 서로 잠자리까지한 관계가 십년동안의 정이 있다나이 무슨 개소리그리고 또다른 대구년은 작년까지도 만났던 사이에 오가며 반찬에서로 필요에 의해 욕구채운 사이로 알고 있는데그것도 그여자가 법에 관해서 자꾸물으니 대답하고 그런사이그런 개소리를 하면서저보고 낚시해서 얻어온 생선을한꺼번에 조리해서 데운다고세상에 생선조림을 데워먹는 여잔제가 처음이랍니다생선조림은 먹을때마다 해 먹는거라며제 사고방식이 잘못 된것이라며고등어 낚시해서 작은거 4마리예요그리고 갈치도 작은거 4마리낚시해온거라 냉동해서 먹기 그래서그 아침에 새벽같이 일어나 출근하기 전에김치고등어찜에 무우갈치조림까지 하느라바빠서 밥도 못 먹고 출근했는데오늘은 집에 머리카락이 너무 마니 떨어졌다고청소기 안 밀었다고저 카톡 이야기 했다가 완전 폭탄트지잡혔네요들어보니 이남자랑 도저히못 살겠구나하는 생각이 들더라구요사사건건 김치못 담근다퇴근해서 6시45분에 집에 왔는데찌게나 국도 하나 안주고김.삼치구이.얼갈이김치.머구짱아찌.갈치조림.소고기메추리장조림 그렇게 셋팅해서 줬거든요당연히 삼치는 바로 구워서 주구요갈치는 데웠어요지랄지랄을 합니다ㅜㅜ제가 그렇게 살림을 형편없이 사는지ㅜㅜ제가 조건적으로 불리한 입장이라서큰소리 못 치고또 성격상 큰소리.욕 그런거 못하는데도저히 이남자는 벽이라서제가 이상한 사람이 되어버리네요이제부터는 이백만원주는 남자라생각하고 아들 고등졸업때까지만버터볼랍니다얼마나 울었던지지금 사골 꼬면서 씽크대앞에 그냥 앉아있네요약지도 못한 나그렇다고 능력도 없고그래서 지금 이러고 사는데속은 문드러지네요기숙사에서 온 아들이 제 얼굴빛이 안 좋다고걱정을 하는데 애써 웃긴 했지만금방 이라도 울음이 나올것 같아서얼른 주방으로 왔네요저 어떻게 버틸까요마음을 잡아야 되는데,마음을 비우고 더이상 정을 안 줄랍니다
야2가정있는 남자랑카톡질하는 여자들은 뭐고그런 여자들이랑 카톡하며 말장난 하는남자믿고 살아야 하는지아무리 보험이지만기분 드럽네요잡것들신상 쫘악 썻다가지웠어요제 대신 욕좀 해주세요제일 나쁜넘이 저랑 가치사는 넘이지요이넘이 신경 쓸 그런 가치있는 여자들이아니라 하는데그래도 그건 아니자나요재혼했으면아무리 안 만나는 사이라 해도카톡질하고 서로 농담 따먹기그건 아니지 않나요ㅜㅜ내가 싫타고 하는데별거 아닌 일로 제가 예민하게 구는거라네요진짜 속이 터질것 같아요얼굴만 보면 짜증나고같은공간에 있기가 시르네요,손가락 몽뎅이를 아주 
"남자는 매일 힘든일해서 돈벌어오는데  그깟 명절때 전하나 부치는게 뭐가 어렵다고! 갈수록 여자들 편한만 바치고문제야.명절때라도  형제들 모여야 의도 좋은거지각자하면  형제들은 언제모여?  여자가 잘들어와야하는데.  이그..이말 듣고 제가 그랬죠,  요즘 같이 바쁜 세상 꼭 명절에 모여야 우애가 생기나?  바쁘면 각자할수도 있는거지. 왜 그런얘기도 있다잖아. 부모한테 재산 많이 물려받은 자식은 명절때도 해외로  놀러가는데 암것도 못 물려 받은 자식은 방구석에서 제사만 지내고 있다고. 옛날하고 다르게 바쁜세상이잖아. 세상이 바뀌면 바뀌는데로 사는거지~당신도 생각을 이젠 좀 바꿔봐. 그랬더니 애아빠왈 명절에 어머니 혼자 적적하게 이게 뭐니? 니두 나중에 우리애들한테 똑같이 당해봐라.. 하대요.글서 전 그랬죠. 난 명절때  애들 바빠서  못오면  그럴수도 있다고 생각해.  글구 난 내가 먼저 쉬라고 오지 말라고도 할것 같은데?  암때나 한가할때와라. 할거고 다들 모이면 음식하느라 며느리 잡지 않고 걍 나가서 외식할거다.  난 격식 안따지고 대충살겨~글구 당신형제들 다들 각자한다니  편한 날 알아서 왔다 가겠지. 자식들인데 나몰라라 하겠어?이게 오늘 아침먹으면서 출근하기전 대화입니다.15년정도는 홀시어머니댁에서 명절,제사 다 지냈고 (어머닌 손하나 까딱안하시고 아무래도 가까이사는 제가 주가 되서 했고 며늘셋이 나눠 했어요.물론, 공은 하나 없구요ㅠ) 그 이후 결혼 늦게하신 큰집이 제사를 갖어가서 3년정도 지냈는데 제 작년 어머니 생신때쯤  갑자기 천주교믿는다. 앞으론 제사 없앤다. 명절때, 생신때도 모이지 말고 각자해라. 큰아주버님이 전화 통보하셨습니다. 물론 재혼하신 형수님지시였구요. 가족4형제가 모이는거 장난 아녔습니다. 집도 좁은데다,  어머님집은 살림도 안하시고  청소도 안하시고 하다 못해  최소한 당신이 먹은 밥그릇정도는 설겆이를 했어야지요. 며느릴 가정부로 아는건지..창피한것도 모르시고..  명절이 무서운게 아니라 그집이 너무 더러워 무서웠어요. 앉을자리가 없어 집안. 냉장고. 싱크대. 청소부터 시작하고 해야했으니깐요.안그러믄 음식을 해도 둘때가 없고 앉을때가 없는걸요.   그런집에서 음식 도저히 못하시겠다고  큰형님네서 제사 갖어가셨고  전 가까이 사니  음식을 같이 해야하는게 도린것 같아 미리 가면  도울거 하나 없다며  다 해놨다며..  작은방에서 쉬라고 합니다.   절 생각하는게 아니라 눈치껏 오지말라라는 무언의 압력? 가시방석을 만드는 묘한 느낌? 아니나다를까.    3년만에 제사랑 명절을 없앤다고. 의논도 없이 걍 통보가 왔어요..애아빤 형이 하는일이라 억지로 따르는 거였죠. 어머님이 제사,명절 없앤거에 대한 불만을 큰아들한텐 직접 못하고 다른자식은 어쩌다 오니 볼시간도 없어 못하시고,  가가히 사는데다 효자인 만만한 애아빠만 자꾸 불러대서 그런말하시니 애아빤 그영향을 받아 그탓인지 저렇게  며느리를 싸잡아 욕합니다. 마치 어머니가 하는말 따라하는 걸 수도요.. 빙의? 며느리가 얼마나 잘한건지 고마운 사람인지 모르세요.  말은 차마 못하는데  착한 아들 부추겨  제가 나서서 해주길 바라나봐요.  전처럼.  그럴일은 없을 겁니다~   절대로.  전 잘됬다 생각해요.저 또한 며늘 자식한테 명절로 구속시키고 싶지않을 생각이니깐요. 제가 결혼하고 난 후의 명절은 큰부담만 안겨줬지 명절같이 즐거운 감정은 아녔거든요.  애아빠야 양반노름하느라 좋았겠죠.  먹으며 자며 놀며. 형제들과 당구치고 동네친구들과 술한잔도하고 좋은추억이 꾀나 있었겠지만 제게 결혼후 명절은 허리 한번  못피고 계속 일만한 하녀같은 기억뿐이 없었으니깐요.  행여나 아들이 일을 도우면 어머님이 그꼴을 못봐요. 그래서 그런지 시댁만 가면 암것도 도울생각을 안하죠. 애아빤 요번도 어김없이  여자를 욕하는건지..   며느리 전체를  욕하는건지 아님  저를 겨냥해 욕하는건지어김없이 명절때가 다가오니 투던투덜 저렇게 싸잡아 욕해대고 나가네요.  왜 내 남편은 저런지.  언제까지 저런생각에 싸여 있을런지.. 정말  꼴보기 싫어요ㅠㅠ속상해서 주저리 주저리 늘어놓아요..   ",여자들이 하는게 뭐가있다고!  (내용이 길어요~.바쁘신분들은 패스^^)
남편과 외식하며 한잔하고 나오다 음식점 밖의 남여공용화장실을 이용 무섭기도하고 신랑에게 밖에서 누구도 못들어 오게 지켜달라고 하고 편히 이용하는도중 어떤 남자가 불쑥 들어오길래 사람있어요~ 하며 신랑을 급하게 3번을 불렀지만 대답없어 급히 나오니 문앞에 있더라구요 남편을 믿고 문을 안잠근 제가 잘못 이지만  바로 앞에서 뭘한건지  한바탕 싸웠네요  그리고는 집에와서 잠들었다가 새벽에 일어나  분해서 잠이 안오네요ㅠ 신랑말이 남자가 불쑥 들어가서 자기도 당황 했지만 바로 나오길래 그냥 보고 있었고 제가 3번씩이나 부를때 왜 대답을 안했냐 하니 앞에 있어서 굳이 대답을 안했다는데 그게 말이 되냐며 싸웠네요 제가 이상한건가요?,다툼
이거 잘못알면 클나요~^^ 저는 이혼할뻔했어요ㅠ작년겨울에 갑자기 어는순간부터 옆에오기만하면냄새가 나고 좀지나니까 현관문열어줄때도 내가숨을참고 열어주더라고요~ 밤에 잠들면 살짝 몰래거실에 나와서 자다가 그때마다 갱년기야! 이걸로밀고나갔는데 ...하루는 새벽에 일어나서는 거실로 나오더니야~내가 그렇게 싫어? 그러면서 울먹울먹하더라고요~ 도둑놈처럼 우락부락하게생긴사람이 그러니까 나도참 ㅠ그래서 솔직히 얘기했죠~냄새가 너~무난다고! 어쩔땐 두통약도 먹는다고!(제가 가끔 엘베에서 냄새나는 사람보면 엄청^^)한참을 있더니 사우나갔다 사무실들렸다올께 하면서 나가더라고요.그리고 나서 난리 난리 시엄니한테가서 엄마 00가나한테냄새가나서 나를 피해 (55세) 엉엉 ㅠ시엄니 전화  그렇게 못참겠니? 아~  네~ 아니요?참 어이없어서ㅡ. 할수없이 병원가보자.ㅋㅋㅋ 울보 아니였음 큰일날뻔했어요~^^바로 입원. 게실염!! 이라네요.50이상이신 남편분들 안나던 냄새나면 꼭!병원가보세요. 이거 생각보다 심각한거예요~^^너~무 길어졌네요. 처음쓰는 글같은데~^^,남편냄새요~^^
"남편한테 나는 냄새가 싫어요 ,,,  어쩔때는 머리가 띵할정도로,,,,  나이드니 홀아비냄새같기도하고~~  안방이불자주바꾸니~  왜그러냐고 물어보는데~~  당신냄새가 싫어서그렇다할수도없고~  탈취제마구뿌려놓고 나가야겠어요 아;;;;정떨어져서 그런걸까요?  측은지심만 있어도 산다고생각했는데 내가더불쌍하다는생각때문이지 같은공간에 있다는것도 답답할때가 있네요  ",남편냄새
부부싸움후어떻게들 푸시나요..우리나이들쯤 되면가슴속에 담아둔 얘기들 많을텐데..,부부싸움후
일욜 저녁 낼 출근생각에 우울해하고 있는중 서방 하는말... 이번주만 출근하면 이제 쉬어...^ㅡㅡㅡ^ 참을인~~~~ㅡㅡ;;;;;;;; 손닿는데 몽둥이가 있었음 주둥아리를 틀어맞고 먼지나게 패고싶었다는..... 개념을 말아드신거맞죠??  ,얄미운 서방
"양성평등 외치며 벌초했네요~시아버지 외동  신랑외동 딸만 둘이니따라나선지 몇년 되네요~아들이 있다면 난 안따라 다닐텐데..요런 생각도 혼자 살짝 해봤네요~10 군데 벌초하니 힘들어요신랑예초기 메고 산능선 오르는거 보니정리해야겠다는 생각도 들고..양성평등 외치며 따라갔는데집에오니 청소,빨래,저녁밥 까지 여자는 일이 끝이 없는듯~~",벌초~
늙어도 품위있게 늙어라얼라도 아니고 이게 뭐냐내가 니 몸종이가....자기맘대로 못하고원하는거 안해주면틱틱 거리며트집잡는데 환장하겠네요평일에는 저는 딴방에서 자는데일 다닌지 이제 이주일째 되니피곤에 쓰러집니다며칠전부터 하자했는데내키지도 않고그넘의 편평사마귀땜에찝찝도 하고어제밤 자기가 오라했는데딴방에서 잤다고아침부터 사시건건 트집입니다이제는 오늘 점심 집에서안 먹었다고 밥값까지 내 놓으래요이런 미친 또라이를 봤나 욕이 욕이 나오네요기가 차서 문자를 씹었어요속에서 불이나는걸밥 못차려줘서 미안한데담부터 그렇게 급하게 나갈일이 있으면 미리 이야기하라고 문자보냈더니밥값 내놓으라고 답장이 왔네요,진짜 그러고 싶냐(험담...예민하신분 읽지마시길)
밭에 가서 일하면서들을려고 샀다나저녁먹고 계속 핸폰으로이노래 저노래 듣더니저보고 곡 신청 받는다고 하네요the rose~~버벅 거리더니ㅋ여자가수 시러 하더니남자가 부른곡으로 오늘같이 비오는 날은배철수 빗물도 들어야지~하믄서 온집안의 문을 꼭 꼭닫고 지금 음악 듣고 있네요간만에 아주 이쁜짓을 하네요^^,간만에 이쁜짓 하네요ㅋ
딸이랑 서로 예민해서 투닥거릴때 많아요. 아무리 봐도 딸이 잘못할때도 딸편을 드는 남편은 뭔일?? 항상 딸편!! 성질 납니다. 딸이 더 기고만장.. 나중에 미안하다고 딸이 그러긴 하지만. 말리는 시누이 보다 남편이 더 짜증이네요.,항상 딸편!!
"자기엄마를 닮아 그런가 애아빤 잘하는 자식한테 너무 치댑니다.이래저래 자꾸 자식을 불러싸요. 혼자해도 될것을~대리불러 오믄 될걸 늦은시간 대리해달라 부르고오늘같은 경우만해도 아들생일인데 쉬지도 못하게할아버지벌초간다고 아침6시에 아침차려달래서 차려줬어요. 애는 가고싶지않은데 가자하니 피곤해 하고.. 대학생인 아들은 교수님 시중드느라 힘들었나보던데..애아빠는 혼자 효자에요. 다른자식들은 멀리산다는 이유로 홀시어머니 뒷수발을 여전히 도맡다시피하고 삽니다.홀시어머닌 아무것도 아닌일에도 자꾸 불러대고 그럼 이사람은 쪼르륵 달려갑니다.. 일욜아침에도 뻑하면 전화벨울립니다. 뭐가 망가졌다느니. 뭘좀 해달라느니. 늘 뭘시킬까 궁리하는 사람마냥요. 다른자식들은 수십년을 안하는 벌초를애아빠혼자 다해왔지요. 지아버지묘 지노력으로 챙긴다니 (20여년을 같이가다 겨우 몇년전부터는 안갑니다..) 그건 뭐라 안하지만 다른 자식들조차 나몰라라하는 벌초를 왜 내자식까지 즉 손주까지 해야하는지ㅠ.. 속상합니다. 장손도 아닌데 말이죠.. 전 죽으면 명절이고 제삿날이건 제사는 하지 말랄겁니다. 음식하느라 며느리 부담. 고생시키지도 않을거고 걍 사먹을랍니다. 나죽으면.. 자식들 고생안시키게 수목장해달랄거고 그저 기억하는 차원, 형제들끼리 얼굴은 잊지말란 차원에서 나들이 삼아 놀러와주면 그걸로 족할겁니다. 즈그들이 먹을 간식이나 도시락싸들고 와서 형제들끼리도 얼굴보며 그럼 좋지 싶어요.자기가 효자라해서 그렇게 살아왔다해서 자기자식까지 효도를 강요하는 애아빠 저로서는 솔직히 이해가 안갑니다. ",전 애아빠가 이해가 안갑니다.
오늘로부로 자유의 몸은 끝났습니다일요일 벌초 간다고휴가를 냈다하는데아무래도 내일 운동때문인것 같은근데 왜 벌초가는데나를 끄실고 갈라하는지...저 사실 이제것 벌초하는데한번도 가본적이 없어요나보고 돈버니 풀베고 밥사야 된다고...이제 일 다닌지 오일짼데무신 돈얼굴마담이냐고 하니그렇다 하는데재혼하고 첨으로 친척들 보는데아....안 가고 싶어요형님네들도 안 가는데왜...저 따라가면 뭘 해야되나요?그리고 뭘 준비를 해야되나요운동화 신고 바지입고 가도 되는지ㅜㅜ모르겠네요어찌해야되는지결혼식이나 그런 행사에 델꾸가야치장이라도 할낀데ㅜㅜ당체 도움이 안 되는 영감탱이,벌초하는데 왜 나를 델꾸 갈라하는지
