content,title
암보험  옛날에  보험료 쌀때 들었고    보험료 납입은 끝났는데    옛날보험은 70세까지만 보장받는거라   추가로  들자니 나이가 있어서 비싸네요    그리고 뇌혈관질환 보험도 들었어요   아버지와  할머니가 뇌혈관질환으로 돌아가셔서  가족력이 있어요   현재 시숙이 암투병중인데   아무대책이 없더라구요  보험도 없고요   요즘 암이 너무 많아서 암은 필수적으로 들어놔야 할것 같아요    시숙부부가 맞벌이라 무슨 대책이 있는줄 알았는데  아무것도 없는것 같아요   두분다 일을 못하시니   생활비 병원비 저희가 대고 있는데   중환자실 병원비 걱정되네요  엄청 많이 나온다고 하던데 ~~~  ,암보험 70세 만기이신분 추가로  가입하셨나요
"#체크카드 #체크카드_할인 #노리체크작년 12월에 회사를 그만두기 전까진 신용카드를 쫙~쫙~ 진짜 아무 생각없이 시원~시원하게 긁었지만 작년 12월 회사 퇴사 후 신용카드도 빛이라는 생각에 (물론 연체된적은 없지만~) 회사 그만두고 바로 혜택이 많은 체크카드 검색후 통장 하나에 체크카드 두개를 발급~^^원래는 큰아이 치과 치료할때 내가 일하느라 매번 따라다니질 못해 치과 결재용으로 국민은행에서 발급했던 체크카드가 있었는데 기존에 가지고 있던건 혜택이 없어 노리채크카드로 변경 발급하고 추가로 해피포인트 체크카드도 추가 발급~^^기존에 있던 농협 체크 , 신협 체크는 국민 체크 발급하고선 거의 안쓰지만 그래도 가끔 혜택 볼일이 있을때가 있어 가끔씩 사용 ~같은 은행이라도 체크카드 마다 혜택이 다르고 또 난 중복 혜택이 아닌 체크카드마다 각각 다른 혜택을 받기위해 발급한거라 헷갈리지 않게 내가 자주 받을 혜택만 따로 적어서 카드별로 부착~ 이렇게 해 놓으면 자주 가지않는 곳의 할인도 놓치지않고 받는답니다~^^참고로 국민 노리체크는 1만원 이상 2만원 미만 영화결재시 35%환급 할인 국민 해피포인트 체크는 영화 7000원 이상 결재시 3000원 환급 할인 파리바게트에서 구매시 10%환급 할인이 되서 국민 체크 위주로 쓰고 있지만 농협체크는 하나로 마트 갈때 쓰고 ~^^신협체크는 롯데시네마에서 결재할때 할인 받으려고 만든 체크카드~워낙 영화 보는걸 좋아해서~^^;;물론 신용카드도 있지만 회사 퇴사 후 연회비 5000원짜리로 변경 발급해서 비상용으로 쓰긴하는데 다른 혜택은 모르겠고 쓸때마다 할인과 포인트 적립이 되더라고요 ~^^내가 같이 벌땐 또 버는 만큼 나가더니 내가 회사를 안다니니 또 그런되로 아끼게되고 돈 나갈일이 줄긴 하더라고요 ㅋ돈은 얼마를 버느냐가 중요한게 아니라 어떻게 쓰느냐가 중요한거 같아요~^^",내가 체크카드 쓰는 방법
아이가 방학때 집에 있어 내심 걱정했는데생각보다 너무 적게나와 어찌나 기쁜지.아이 수학여행에 추석에 남편임플란트에 돈들어갈때뿐인데 넘 기쁘네요.ㅋ오래된 에어컨이라 은근 걱정도 했건만선방해서 기분짱입니다.,전기세 정말 선방했네요~
지난 여름 지독히도 더웠던 8월에너무 더워서 집밖을 안나가려는 남자사람들 때문에집밥만 고집하는게 전기세에 보이네요~조카 온날 빼고 외식을 안한거 같아요 ㅜㅜ내년여름엔 좀 버틸만큼만 더우면 얼마나 좋을까요~~,8월전기세 이제나왔네요~
생활하시는분들 계실까요?아이가 둘인데도 생활비 받지않고제가 아이둘 케어하면서  살아볼까 하는데많이  힘들까요?물론 이혼이  답이겠지만 협의가 안되서이렇게라도  살아볼까하는데제가 이런상황들을 잘 이겨낼지.. 제가 늦게  결혼해서  아이는 고작 7.8세밖에  안되네요.정말 하루하루 지옥이고 심장이  터질것같아요..,생활비 각자 벌어서
초딩둘이랑 저랑 셋이서 한달에 백만원가지고 생활하는데 이번달 둘째 바이올린대회 나가느라 대회비랑 반주비나가고 애둘 현장학습비랑 둘째 수련회비까지 한꺼번에 나가서 통장잔고가 텅텅비었네요 ㅠㅠ 담주는 냉장고털이하고 마지막주는  친정가서 빌붙어야할거같아요 흐어어엉 ,생활비벌써 바닥났네요ㅠㅠ
근로장려금자녀장려금우편물 받으신분받으세요자녀나 본인가족 영세가게하시는분 등요작은가게하시는분은 몇십만원 입금됬다네요전 해당이않된다고..,장려금 
정보보고 토스어플 들어가카드포인트를 현금으로받았네요삼천원이지만 공돈생긴것같은ㅋㅋ보험은 없더라구요토스어플 신용조회 하면 대출 하는데점수가 낮아지나요?휴먼계좌 내돈 조회하고돌려받으려면 어디로 들어가야하는지아시는분 알려주세요?,토스
회원님의 위로에 감사드립니다12년전에 남편사업이 잘 안됐었는데 그때이후재기하기가 좀 힘들었는데 지금 부터라도 다시 시작해볼랍니다화이팅 할께요 ᆢ 감사합니다 ,위로 감사합니다(펑)
이사 앞두고 있는데..우울해서 열딱지 나요. .첫동네를 잘못 선택해서...제가 선택한 동넨 집값이 바닥이고...이제 여기 털고 좀 좋다는 동네 가려니 이 돈으로 갈곳이 없고...울집..수리 다 해 놓은 46평 울집 팔고 옆동네 30평대 수리 하나도 안되어진 전등 갓도 떨어진 집 전세 가네요...46평 팔아도 다른 지역 전세값도 택도 없어서 또 대출금 엄청 받고...결혼전부터 44살인 지금까지 계속 일했는데...남는건 여전히 빚....형님넨 첫단추를 잘 끼워(부동산이 팍팍 올라줘서)맞벌이 1도 안했는데 비싼동네 집 몇채나 가지고 살고...ㅜㅜ걍 한없이 우울터집니다.ㅜ,이사 앞두고 있는데..열딱지 나요...
