content,title
자주 다니는 동네 옷가게가 있어요~보세가게지만 블라우스 하나에 십만원정도 하는 싼곳은 아니예요.가게도 고급스럽고 동네라 가깝고. .제가 이가게 옷을 좋아는 해도 비싼지라간혹 구입하며 여자사장님과 인사차 얘기하다가알바구하고 있으니 해보라시며전화번호 알려주고 왔는데 . . 일해보라고 전화가 두번이나 왔어요.10년 넘은 택지지구 동네이고전업으로만 20년 애들만 키운지라 시작하기 겁이 나네요.알바라 시간은 하루 5~6시간 최저시급인데너무 힘들까요? 어떤게 젤 힘들까요?결정이 쉽지않아 넘 고민스럽네요. .나이도 48이라 젊은 나이도 아니라. . .ㅠ경험 있으신분들 조언 좀 부탁드려요^^,여자 보세옷가게 알바 해볼까요?
"#리모델링 #보이지_않는_위험 #소비자가_체크해야_할_사항들서당개 삼년이면 풍월을 읍는다는 속담이 있듯 어깨 넘어로 보고 배우는것도 무시 못하는데요 신랑이 전기 작업을 하다보니 따라다니며 보고 듣고 느낀 위험성을 이야기 하려 글을 끄적여 보네요 오래된 아파트 리모델링 하시는 분들 많으시죠??물론 대부분 인테리어 매장에 맡길수밖에 없어요 인테리어 매장에서 물론 알아서 꼼꼼하게 체크하며 작업하시는 경우도 많지만 그거 아세요 인테리어 매장도 손님에게 접수 받으면 각 전문분야에 일을 맡겨요 인테리어 매장 직원들이 다 하는게 아니예요 하지만 여기서 문제는 인테리어 마무리되고 나서 문제가 생기면 인테리어 매장에서 작업한 분들께 연락을 해서 해결을 해주시겠지만 소 잃고 외양간 고치지 말고 외양간을 튼튼하게 만들면 문제가 생길 일이 없어요 오래된 아파트라 리모델링 하시면서 소비자인 우리는 눈에 보이는것만 예쁘고 만족하면 그만이지요 인테리어 쪽에서도 그런걸 알기에 그 부분만 신경을 엄청 써요 하지만 오래된 아파트 일수록 더 안보이는 곳을 신경써야해요 방이며 거실 주방 등은 새로 싹 교체하시면서 전선들은 그대로 쓰고 ~물론 교체할수 있는 선이 있고 교체할수 없는 선들이 있어요 교체할수있는 선들은 교체를 해주는게 안전하죠~^^등을 달때 보면 천정에 나무 심지가 없는 곳이 많아요 그럼 리모델링 하면서 목수들이 천정에 나무를 좀 대주면 등을 새로 교체해도 튼튼해요 하지만 그냥 마감처리 안해주는 경우가 많아요 자기가 주문 받은게 아니거든요 제가 신랑 따라 다니며 본 집 중에 진짜 오래된 아파트 리모델링을 했는데 천정에 등달때 버티지 못하고 그냥 떨어지는 경우가 많아요 지금 당장은 안떨어진다 해도 시간이 지나면 약해져서 등이 떨어져요 거액 들여 리모델링 하셨는데 몇년은 괜찮다가 어느날 갑자기 등이 떨어지면 얼마나 위험할까요??뉴스를 보면 신축 건물 붕괴되는 사건도 그런경우예요 보이는것만 신경 쓰니까요 지어진지 오래된 아파트 일수록 리모델링 보이는 곳만 신경 쓰지 마시고 꼭 인테리어 업체에 이야기 하세요  "" 천장에 등 달기전에 나무 없는 곳은 나무 대고 달아달라고 !!!!!""리모델링 하시면 도배도 새로 하시잖아요 나무를 겉에 대는게 아닌 안쪽에 대요 절대 티나게 작업하지 않으세요 다들 전문가들이지만 말하지 않으면 신경을 안써요 빨리 끝내고 다른곳 일하러 가는게 더 나으니까요 하지만 안전은 누가 책임질까요???몇년 멀쩡하다고 보이는 인테리어만 예쁘고 만족스럽다고 안심하시면 안돼요 안보이는 곳도 꼼꼼하게 따져보셔야 해요",오래된 가정집 리모델링 체크해야할 사항들
폐백음식 배우고 싶은데 우갱언니들 조언 부탁드려요.,폐백음식 배우고 싶은데요.
하루종일 서서 일하는 직업. 첫날을. 지났네요.오늘은 둘째날 발바닥이 불났어요.  ㅜㅜ 안하던일을 할려고 힘들지만 단기알바도 하나의직장이니깐 있을동안에 열심히 할려고 생각중이랍니다.정육점.고기 야채 소스 . 추석 한가위 고기주문 포장. 우리나라대표 한돈.일은 쉽지만 하루종일 서가 있으니깐 발이 불바닥^^경남진주시 평거동 태원피그팜에 오서셔 제수장만하셔요. 국내산만 취급해요. 오늘도홧팅 입니다.^^,알바시작
       레슨하러 수강생분 모시고 이틀전에와서서 수업하고 만든작품들고 사진 찍고 있어요: 막간을 이용해서 기모노체험하면서요) 저는 안입으려고 했는데ㅠㅠ 같이입자해서 무거운 카메라 목에 걸고 ㅎㅎ 찍사중입니다 꽃시장 가려고 나왔어요: 가기전 이른 조식먹고 움직입니다.   날씨좋으네요 한국인들 넘넘 많아요. 카메라만 찍으니 폰사진이 별루없어요 구경하시라고 올릴까용~^^  ,기모노입고 카메라맨하고 있습니다:
오늘 요양보호사  실습 다녀왔어요 아침에  가서  지금 끝났어요... 처음이라  넘 힘들고  부모님 생각 나서 우울했어요 여러분!! 열심히  운동하고 책도  많이  읽고 우리   우갱분들은  치매 걸리지  맙시다 사랑합니다~~   ,실습
일할땐 그만두면 뭐하고뭐하고 잔뜩 생각했었는데 지금2주째 정말 아무것도 아무것도 안하고 누워서 폰만보내요 ㅎ  웃긴건 시간은 너무 잘간다는거 흑 배는 또 왜그리 금방 꺼져서 한시간마다 계속 뭘 먹고있네요 ㅜ ㅜ 이런것도 갱년기 증상일가요???ㅎ,일 그만두고 맨날 뒹굴뒹굴이예요...
제가 살이 찌긴 많이 쪘나 봅니다.공부방에 다니는 단짝 7살짜리 여자애들이 있는데 평소에도 다른 여자애들보다 좀 더 떠들고 어쩌다 저에게 반말도 하고 이러는 아이들이에요.공부방에 제 방이 따로 있어서 원장샘이 그 때 그 때 들여보내주는 아이들을 제가 관리하는데 이 아이들은 저랑 자주 공부해요.그런데 지난번부터 그 중 한 아이가 선생님 뚱뚱해요 그러더니 이번에도 와서 또 그러면서 심지어 뚱뚱보 뚱뚱보 계속 이러는 거예요.그랬더니 옆에 있던 아이도 같이 뚱뚱보 뚱뚱보 이러는 거 있죠.저랑 그 애들만 있을 때 그러면 괜찮은데 다른 아이들도 많이 있을 때 그러면 다른 아이들도 아무 생각 없이 따라서 그럴까봐 걱정이 되요.방문이 열려있으니 채점샘이 듣다 못해 와서 그런 말 하는 거 아니라고 하는데 너무 창피했어요.원장샘이 워낙 아이들을 우쭈쭈하고 샘들한테 싸가지 없는 욕을 해도 그냥 넘어가는지라 저도 가만히 있었는데요.쉰 살이나 되서 일곱살 짜리 어린 애가 하는 말에 대응하기도 그렇고 그냥 두자니 계속 그럴 거 같고 그래도 할머니 소리는 아직 안 들었으니 다행인가요? ㅎㅎ어린애들이니 모르고 그러는 거라고 생각하려고 해도 생각할수록 창피하네요.제가 생각해도 유치한데 아이들이 와 웃으면서 뚱뚱보 뚱뚱보 떼창할까 겁나요.,알바하는 공부방 7살짜리가 저만 보면 뚱뚱보라고 해요ㅎㅎ
제가 온라인 쇼핑몰을 운영 하고 있지요   여기 회원님들도 저와 같이 소규모로 하시는 분들이 있더라구요   그럼 진심 아실거에요   쉽지 않은 일이라는걸 ...  늦은 결혼에 아이마저 늦게 생겨 어린 딸 키우느라   모아놓은건 없고 진심 투잡은 하고 싶지만   어린 아이에겐 아직 엄마의 손길이 많이 필요해서   퇴근후 집에서 할수 있는 일을 찾다가   온라인으로 상품을 판매 하는게 그나마 나을것 같아   정말  지식도 경험도 없이 뛰어 들었네요   두달을 고민 하고   한달동안  밤마다  온라인으로  공부하고   온라인 쇼핑몰 오픈후 매일 2-3시간 자며   일 했어요  그나마 그 노력때문인지 한달은 마진 계산도 잘 못하여 실패 했지만   두달째부터 조금씩 나아지기 시작했지요   주변에서도 초보자가  그정도면 잘 하는거라고 많이들 격려 해주시고   정말이지 별별 일 다 겪어가며 나름 성장을 하고 있었어요   그런데   어느날 같은  동네 살던 동생이 자기도 해보겠다고 하길래   그 동생은 아이가 셋이거든요   그래서 제가 알고 있는 지식을 모두 알려주었지요   몇달후 ...본인은 너무 힘들어서 못하겠다며  포기 하더라구요   알바하는게 더 낫다며 ...  저와 상황도 다르고 성격도 다르니 그럴수 있겠다 했어요   저는 지금  전에 의류쪽이였다가 지금은 아에 품목을 변경  네이버에 입점하여    하루 종일 컴 앞에 앉아 상품 업뎃과 배송과 문의건으로   정신없는 날을 보내고 있습니다  여기도 쉽지 않습니다   배송 조금만 늦음 패널티 줍니다   문의글 답도 바로 바로 처리 해줘야 하고 품절도 늦게 처리 하면 패널티  근데다가 전 투잡이에요   회사 일도 처리 해야 하구요   그런데....어제 그 동생 연락 왔네요   언니 따라쟁이 같지만 저 다시 해볼려구요   아 ㅜㅜㅜㅜㅜㅜ  정말 말리고 싶습니다   난 죽지 않을려고 그 마음으로 매달리고 있다  지난번처럼 소홀히 하면 안하는게 낫겠다 했어요   본인도 너무 힘드니 진짜 열심히 하겠대요   그런면서 장장 두시간동안 상호명 상품 등록방법을   톡으로 물어 보는데...  전 진짜 누구 도움없이 온라인으로 독학 하다시피 연습 연습 계속 연습해서   지금까지 왔는데...  왜 적극적으로 직접 해보지 않을까 싶었네요   요즘은 창업카페 엄청 많아요   유명한 카페 한곳만 가입해두어도 정말 소중한 정보 쉽게 알아볼수 있는데...  전 솔직히 가까운 사람이 쇼핑몰 한다면   말리고 싶어요   저 처음 시작할때 매니저님이 그랬어요   하루에 10개이상 판매 못하면 빨리 접는게 현명한거라고 ...  초심을 잃지 않기 위해 전 늘 그 말 잊지 않고 진심 열심히 해요   자다가 일어나서 문의 답변 달때도 있구요   새벽에 알림 소리에 상품 올릴때도 있어요   시즌이 지나고 나서도 하나도 못팔고 마감 되는 상품도 있고   하루종일 그 상품만 계속 팔리는 경우도 있어요   어제까지는 너무 잘 팔렸는데  오늘은 하나도 안팔릴때도 있어요   기다림이죠 기다리다 보면 6천원짜리 하나라도 팔리더라구요   너무 감사한 일이죠   점심 먹고 커피 마시고 문득 생각나 적어 봤습니다   주말 잘 보내세요~  ,남이 잘된다고 내가 잘될순 없을텐데...
어제 처음 한 쿠킹수업 별 탈 없이 끝냈으니 반은 성공했다고 자찬합니다. 어제 수업했던 5세 7세 친구들이 만들었어요. 응원해주신 분들 감사합니다.~~^^,쿠킹수업 반은 성공 ^^
