content,title
생리는 안하면서 생리전 증상들은 있나요??완경된 언니들중에 그렇게 말씀하시는분들이더러 계시더라구요생리전증상은 있고 생리는 안한다고그런가요???,폐경증후군
9시 40분에   첫번째검사는  3주후에 결과 나온다하니 기다리면 되고요.두번째 골밀도 검사 결과는 역시 골다공증 아니랍니다 ㅎㅎ이번에는 기흥구 보건소 가서 검사 받았는데 병원 기계랑 똑같네요 ~신뢰도 상승~!골다공증 전단계로 진단결과 나와서 기분 좋네요~운동 열심히 하고 뼈건강에 좋은 식생활 결과인가봐요~3개월만에 이렇게 좋아지기 힘든 수치라고 의사쌤다시한번 말씀하시네요 ㅎㅎ세번째 골절부위 다나았는지 엑스레이 찍어서 결과 기다리는중입니다.아침에 나와서 지금까지 병원투어 ㅋㅋ그저 웃지요^^그나마 골다공증약 안 먹어도 된다는 결과에 기분 좋아요 ^^아침도 안 먹고 돌아다녔더니 이제 배고프네요.다들 점심 맛나게 드셔요^^,3가지 병원검사 끝내고서~
이거 폐경 오려는 증상인거지요? ㅠㅠ 주말마다 남편이랑 막내 델고 목욕 가는 즐거움이 큰데. 또 2주만에 사우나 못가네요. 축농증 통증에 또 생리에.. 힘든 주말이겠어요..ㅠ 제 남편도 50될 때 좀 힘들었다는데. ㅡ저는 몰랐고.. 이렇게 50되는건가요    ,2주만에 또 생리..
혹시 증상이 어떤가요드시면 도움되는게 뭔지요알려주세요,갱년기 증상
생리가 끊긴지 1년이 다 되었습니다  작년 10월 23일 이후로 단 한방울도 나오지 않는데요 병원에 가야하는건지..그냥 안가도 되는건지요?  선배님들 사소한 의견이라도 좀 주시면 감사하겠습니다,생리가 끊긴지 1년이 다 되었습니다
저는 아가씨때부터  아이  둘 낳고도  어김없이  양이  많아요.8일은 생리대로  차고  있어야 했으니까요.그리고이틀째부터  평일 오버나이트를 착용해야할 정도랍니다.그런데이번달 난생 처음 팬티라이너  찰 정도로  양이  없었고.일찍도  끝나버린거예요.스트레스때문일까요?아니면 초기  갱년기증상일까요?올해  43입니다.,생리양
오른쪽은 겨우겨우 오십대왼쪽은 육십대..인가봐요~ 안닿아 ㅠㅠ좀더 유연성을 길러야겠어요.,본인의 등근육 나이 알아보세요~전 확실히 오십대 맞음
제가 갑성선약을 먹는데 지난번 약타러갔을때 그런 느낌들어서요,갱년기(폐경기) 오면 의사들도 건성건성 봐주나요?
여자들처럼 그런 증상 없나요?,남자도 갱년기 오나요?
제가 처음 카페 가입하고 자꾸 들어와 보며 삶의 진리되는 말들은 신랑이랑 공유 하면서 갱년기 카페에서 초대장이 와서 가입햇다고 햇더니 울신랑 피식 웃의며 기가 차 하네요ㅎㅎㅎ저는 제가 지금 갱년기 라고는 못느끼지만언니들의 삶의 지혜를 배우며 저에게도 올 갱년기를놀라지 않고 받아들이고 싶답니다.친언니나 여동생이 없는 저는 이렇게 적나라(?)한 카페 분위기 좋아요^^삶의 희노애락을 공유하고 모르는것도 물어가고힘들때 한템포 쉬어 가고 즐거울때 같이웃고지역맘카페 다음으로 애정하는 카페가 됫네요ㅎㅎ,갱년기도 나이가 있나요?
왼쪽가슴 (유방)밑  툭 튀어나온 뼈부분이 꼭 전기오르듯이 가끔씩 찌르르해요   얼마전부터..아프지는 않아요  뭐라 표현할수가...꼭 물리치료받을때 전기치료받는것처럼요신경이 온통 그리가있으니 더 그런것같고..이런건 병원을 가보기도 애매하네요나이드니 별 증상들이 다 생기네요 ㅜ,이런증상이요ᆢ좀 봐주세요ㅜ
버스 타기전에 화장실 갔다왔는데괜히 이뇨작용이 있는바이오스라이프e를 이백미리 마셨네요아직도 동서울 사십분 더 남았는데엉덩이 아파요하도 힘 줘서-.-딱 마시자 마자 삼십분 지나니 그때부터 소변이 마렵기 시작하는데아고....젠장 입니다ㅋ요즘 왜이리 계산을 못하는 머리가 되었는지어제밤에는 보도블럭 턱을 못 보고택배박스 들고 철퍼덕 -.-어릴적에도 안 넘어졌는데이제서야 자꾸 엎어지는지무릎팍을 세번이나 갈았는데어젠 종아리 앞에를 그냥 콱 찍었네요에구...,버스안인데 힘 꽉 주고 있네요ㅜㅜ
호르몬제 먹은지 이제 1년 다됐어요 유방통이 좀 있어 1년만에 검진 왔는데 예약 안했다고 3시간 기다립니다 9시에 와서 12시 화딱지 나서 병 생기겠네요 ㅋㅋㅋ  그리고 너무너무 심심해요 계속 우갱만 들어왔다 나갔다 합니다,유방통
잠을  자다가  새벽 3시면  항상  깨어나네요ㅜㅜ몸이  너무  피곤하네요ㅜ,피곤
있다면 부럽네요 ㅠ,나이들어도 노안 잘안오는 사람도 있나요?
여름에만 어쩌다한번정도 그랬는데 올여름부턴 계속그러네요ㅜㅜ 눈주변(썬그리쓰면 딱가려주는부위)만 벌겋게되고 살짝부풀어올라요 스킨로션에센스는괜찬은데 BB나 팩트종류만 바르면 그러네요 가렵진않고 열감은 살짝있구요 피부과가면 스테로이드연고와약외엔... 약먹으면 가라앉긴하는데 이젠한겨울에만 화장가능한건지ㅜㅜ 46세인데 노화의증상일까요 딱눈주변만 그렇게되니 난감하네요,피부알러지로 화장못하시는분 어떡하세요??
"류마티스관절염 2년가까이되가는데ᆢ어제하루돌아다녔다고ᆢ허리,무릅,발목 ,발바닥까지통증특히발목복숭아뼈아래퉁증과절임 있어요온몸이 부대끼고 안좋네요ᆢㅠ갱년기면서 류마티스있으신우갱님계시면 몸증상공유좀해요?",류마티스관절염 ?
