content,title
"추석 명절이 되니 그나마 평정심을 유지한게술렁입니다.구구절절 사연이 많지만 요약하자면,제 친정쪽은 1남 4녀 막내가 아들입니다.그중에 전 네째입니다.남동생하고는 3살차이이고요.어려서 아니 언제부터인지 기억이 나지 않을 정도이지만집안에서 느끼는 제 존재감이 전혀?없었죠. 집안 모두 아들 위주로 돌아갔죠.마음 고생....이루 다 말하수 없었어요. 가족은 많지만 늘 혼자라는 그런거 아시나요?결혼후 (현재 이혼)안정된 가정에서 부모님, 아버지는 제가 결혼후 얼마안되어서 돌아가셨고 엄마께 잘하려고 노력 많이했죠. 엄마는 늘 아들아들 딸들이 잘하는건 안중에도 없으시고요.집안이 넉넉하지도 않아서 더 느끼는 심리적 상처와 자존감은 늘 바닥이었죠.구구절절 중략그러기를 거의 사십구년 결혼 이십삼년째입니다.4~5년전부터는 나이도 들고 이제 미워한다는것도 힘들어서 그마저도 내려놓아야 겠다는 생각을 했어요.오는 명절 친정에 안가려고요. 차라리 안보면나을듯 싶어서 마음먹었는데 그것도 힘드네요.머리론 내려놓자내려놓자 하지만마음이 힘들어지는건 어쩔수없는것 같아요.지인이나 친구들 보면 친정엄마랑 알콩달콩하며같이 늙어가며 챙겨주는것 보면 사실 눈물이 납니다. 따뜻한 부모님의 품곧 쉰인데 이젠 좀 평온해졌으면 좋겠어요.애들도 있지만 애들하게 주는 사랑하고는 다른건가봅니다. 아무리 채워도 채워도 채워지는 공허함다음생에는 내게 다정하고 인자하신 부모님 만날수 있을까???주저리주저리 허접한 글 남겨봅니다.",친정 엄마
미친X 널뛰듯 합니다.ㅎㅎ표현도 참..가까운 바닷가 가서 소리 지르니 좀 나은데남편 얼굴 보면 또 울화가 치밀어요이거 권태기인가요?아님 갱년기 증상인가요?극복하신분 계실까요? ㅜㅜ,감정이..
"말그대로 정말 아무것도 하기싫고 몸도 마음도 무겁네요.한 3년전부터 증상이 나타나 힘들었고이번 7월에 큰애가 내 동의없이 애들 아빠한테 가버린 뒤 더 그런 증상이 심각하네요. 하루종일 머리가 멍하고 작은애도 있고현재 부득이하게 쉬고 있어요. 곧 쉰인데어떻게 해야하나요?한 일년전에 갑상선 문제일까 검사했는데 이상무,간검사 이상무갱년기 증상일까요?'",아무것도 하기 싫어요.
아무리 가까이 있어도마음의 없으면 먼 사람이고아무리 멀리 있어도마음이 있다면가까운 사람이니~♥사람과 사람 사이는거리가 아니라 마음이래요~♥마음을 다스리는 사람마음을 아프게 하지 않은 사람따스한 말을 전하는 사람위로의 마음을 전하는 사람그런 마음을 가진 사람이참 좋아요~♥지금 이시간 이글을 읽는 사람바로 당신이 멀리에 있어도따뜻한 마음을 전해주는가까운 사람입니다!,마음의 편지
꼭 실천하기~^^,걱정마라!
"핸폰 중독자인냥, 우갱을참새 방앗간처럼 들락날락 해요.진정 갱년기증세인지는 모르겠지만‥요즘 감정기복도 너무 쎄고‥제가 알겠어요ㅜㅜ조절  못하는걸 기억하니,부끄럽고짜증나요.자괴감에;;우갱카페 글 읽으며,너무 위로 받아서감사해요^^가까운곳에 편한 상대가 업음을속상했었는데,카페글 읽어보면나만 그런게 아니구나.하는 위안을 받게 되서,감사합니다",우갱이 있어 감사해요.
편안한 불금보내고 있으신가요~여기는 어제부터 오늘까지 계속 비가 왔었네요.습한 공기가 눅눅해서 보일러 잠시켜니 바닥에서전해지는  따뜻한 온기가  참 좋네요.며칠전부터 몸의 컨디션이 자꾸 다운돼서 의욕도없이 있다보니 나름 걱정이 되었던지 남편이 전복죽을배달 주문을 해서 보내왔네요.딸이랑 만족스럽게 먹었습니다~^^오늘 후배랑 이런저런 이야기를 하다가 친언니가남들이 봤을때는 문제가 전혀없어 보이는 완벽한가정인데 한달전에 언니가 우울증으로 입원을했다네요. 내가 들어봐도 부러움의 대상인데어찌 그런 마음의 병이 들었는지 알 수가 없어가족들 모두 힘들어 한다는 얘기를 하네요.그래서 또 한번 느낀게 가진것이 많다고남편과 자식들의 사회적 위치가 아무리 대단하다한들그것이 행복해 질 수 있는 도구의 하나일 뿐전부가 될 수 없다는 걸 다시 한번 생각케 되었네요.내가 가진 것이 보잘것없이 보이는 건 다른 사람것과비교해서 생긴 결과지요.어차피 내것이 아닌것에 관심갖지말고내가 가진 소중한것에 더 사랑하고 소중하게다뤄야겠다는 생각을 한번 더 하게 됐네요.,우울증.
" 날씨가 너무  좋은데,제 마음은‥갱년기증세인지?우울하기도 하고,화가 불쑥불쑥,외롭고~마음속에 무슨 이유가 있어서인지조차도모르겠어요.마음  잘 다스리고 싶어요.",저만 이럴까요;;
언젠가부터 마음이 만신창이가 되어있네요머리 큰 아들넘들 내 손 그리 필요로 하지 않고남의편은 그냥 쭉 남편 아닌 남남스럽고머리가 시끄러운게 싫어 주변인들을 싹 정리했어요인간관계가 내겐 어쩜 사슬같은것인지도요참 홀가분해요그냥 '나'로 살아보려고 애를 쓰는 중이예요그만 치이고그만 희생하고그만 노력하고그만 참고그만 아둥바둥오로지 나사람이 즐거워지는 시간이 필요해졌어요이젠 좀 그래도 되겠다 내가 결정 봤어요나를 제일 잘 아는건 '나'이니까요안그럼 내가 위험해질거예요나를 좀 더 아끼기로요혼행을 계획중입니다생각만으로 근사해요내가 가고싶은데 가고내가 먹고싶은거 먹고내가 보고싶은거 보고내가 자고싶을때 자고꼭 근사한 여행지가 아니라도 말예요가슴이 벌렁벌렁설레는 일예요동생님들 친구님들 언니님들하루 수고하셨고편안한 밤 되시기를요숙면 하세요주저리주저리..,'내'가 즐거울것들을 하고 싶어요..
갱년기 증상 중 하나인지는 모르겠어요마음이 불안하고 펑펑 소리내어 울고 싶기도 하구요입맛도 없구 먹고 싶은것도 없고요기억력도 감퇴되고 늘 쓰던 단어인데 갑자기 생소할때도 있구요친구들한테 괜히 섭한 감정도 들고요확실한 갱년기일까요?감정이 무덤덤 한거같으면서 작은일에 울고 싶고..가을을 타는건가 싶기도 하고 마음 좀 무겁게 다스리고 싶어요,마음이 안정적이지 않아요
힘들다  힘들다하면 더 힘들고괜찮타 괜찮타하면조금은 나아져요오늘 난 행복하다오늘을 즐기자~♥하...맘따로 몸따로~~ㅎ..ㅎ그래도 힘내고오늘도 아자아자!!!!!,오늘을 즐기자~~♥
